OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1153,1432653,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1003,2020-01-15T00:15:30.000Z
1171,1432684,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1003,2020-01-13T00:20:50.000Z
1214,1432772,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2C,567,2020-01-16T00:15:23.000Z
1216,1432779,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3B,748,2020-01-12T00:00:15.000Z
1219,1432784,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1A,104,2020-01-15T00:17:39.000Z
1231,1432807,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6B,1003,2020-01-16T00:16:50.000Z
1264,1432903,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1C,414,2020-01-16T00:20:00.000Z
1298,1432982,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,744,2020-01-16T00:18:15.000Z
1303,1432988,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1443,2020-01-16T00:19:50.000Z
1336,1433065,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3B,716,2020-01-17T00:19:15.000Z
